cancer_type	tissue	target_index	track_name	strand	assay_title	output_type	ontology_curie	biosample_name	biosample_type	biosample_life_stage	data_source	gtex_tissue	histone_mark	transcription_factor	nonzero_mean	matched_patterns
COAD	Colon	5027	usage_UBERON:0001159 gtex Colon_Sigmoid polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0001159	sigmoid colon	tissue	adult	gtex	Colon_Sigmoid				\bcolon\b;\bcolon\b
COAD	Colon	1620	UBERON:0001157 gtex Colon_Transverse polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001157	transverse colon	tissue	adult	gtex	Colon_Transverse			0.049934789538383484	\bcolon\b;\bcolon\b
COAD	Colon	4658	usage_UBERON:0001157 gtex Colon_Transverse polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0001157	transverse colon	tissue	adult	gtex	Colon_Transverse				\bcolon\b;\bcolon\b
COAD	Colon	5025	usage_UBERON:0001157 gtex Colon_Transverse polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0001157	transverse colon	tissue	adult	gtex	Colon_Transverse				\bcolon\b;\bcolon\b
COAD	Colon	5394	junction_UBERON:0001159 gtex Colon_Sigmoid polyA plus RNA-seq			OutputType.SPLICE_JUNCTIONS	UBERON:0001159	sigmoid colon	tissue			Colon_Sigmoid				\bcolon\b;\bcolon\b
COAD	Colon	5392	junction_UBERON:0001157 gtex Colon_Transverse polyA plus RNA-seq			OutputType.SPLICE_JUNCTIONS	UBERON:0001157	transverse colon	tissue			Colon_Transverse				\bcolon\b;\bcolon\b
COAD	Colon	1215	UBERON:0001159 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001159	sigmoid colon	tissue	adult	encode				0.3216996192932129	\bcolon\b;\bcolon\b
COAD	Colon	1486	UBERON:0001159 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001159	sigmoid colon	tissue	adult	encode				0.3216996192932129	\bcolon\b;\bcolon\b
COAD	Colon	4661	usage_UBERON:0001159 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0001159	sigmoid colon	tissue	adult	encode					\bcolon\b;\bcolon\b
COAD	Colon	5028	usage_UBERON:0001159 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0001159	sigmoid colon	tissue	adult	encode					\bcolon\b;\bcolon\b
COAD	Colon	363	hCAGE UBERON:0001155	+	hCAGE	OutputType.CAGE	UBERON:0001155	colon	tissue		fantom				35.34465789794922	\bcolon\b;\bcolon\b
COAD	Colon	636	hCAGE UBERON:0001155	-	hCAGE	OutputType.CAGE	UBERON:0001155	colon	tissue		fantom				35.34465789794922	\bcolon\b;\bcolon\b
COAD	Colon	163	UBERON:0008971 ATAC-seq	.	ATAC-seq	OutputType.ATAC	UBERON:0008971	left colon	tissue	adult	encode				0.6758714914321899	\bcolon\b;\bcolon\b
COAD	Colon	1004	UBERON:0008971 DNase-seq	.	DNase-seq	OutputType.DNASE	UBERON:0008971	left colon	tissue	adult	encode				0.6561613082885742	\bcolon\b;\bcolon\b
COAD	Colon	1282	UBERON:0008971 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0008971	left colon	tissue	adult	encode				0.1311025470495224	\bcolon\b;\bcolon\b
COAD	Colon	1553	UBERON:0008971 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0008971	left colon	tissue	adult	encode				0.1311025470495224	\bcolon\b;\bcolon\b
COAD	Colon	5506	junction_UBERON:0008971 total RNA-seq			OutputType.SPLICE_JUNCTIONS	UBERON:0008971	left colon	tissue							\bcolon\b;\bcolon\b
COAD	Colon	4772	usage_UBERON:0008971 total RNA-seq	+	total RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0008971	left colon	tissue	adult	encode					\bcolon\b;\bcolon\b
COAD	Colon	5139	usage_UBERON:0008971 total RNA-seq	-	total RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0008971	left colon	tissue	adult	encode					\bcolon\b;\bcolon\b
COAD	Colon	156	UBERON:0004992 ATAC-seq	.	ATAC-seq	OutputType.ATAC	UBERON:0004992	mucosa of descending colon	tissue	adult	encode				0.2983551621437073	\bcolon\b;\bcolon\b
COAD	Colon	995	UBERON:0004992 DNase-seq	.	DNase-seq	OutputType.DNASE	UBERON:0004992	mucosa of descending colon	tissue	adult	encode				0.44594788551330566	\bcolon\b;\bcolon\b
COAD	Colon	2723	UBERON:0004992 Histone ChIP-seq H3K4me1	.	Histone ChIP-seq	OutputType.CHIP_HISTONE	UBERON:0004992	mucosa of descending colon	tissue	adult	encode		H3K4me1		0.9400363564491272	\bcolon\b;\bcolon\b
COAD	Colon	2724	UBERON:0004992 Histone ChIP-seq H3K4me3	.	Histone ChIP-seq	OutputType.CHIP_HISTONE	UBERON:0004992	mucosa of descending colon	tissue	adult	encode		H3K4me3		0.9843800067901611	\bcolon\b;\bcolon\b
COAD	Colon	2725	UBERON:0004992 Histone ChIP-seq H3K9me3	.	Histone ChIP-seq	OutputType.CHIP_HISTONE	UBERON:0004992	mucosa of descending colon	tissue	adult	encode		H3K9me3		1.0794081687927246	\bcolon\b;\bcolon\b
COAD	Colon	4397	UBERON:0004992 TF ChIP-seq CTCF	.	TF ChIP-seq	OutputType.CHIP_TF	UBERON:0004992	mucosa of descending colon	tissue	adult	encode			CTCF	0.9853171110153198	\bcolon\b;\bcolon\b
